Term, Object Type, Inscription Type, Inscription, Place Name, Latitude, Longitude, Tag
gladiator*,"tabula","fasti, leges, acta","[---] / [D(ecimo) Haterio, C(aio) Sulpicio co(n)s(ulibus)], / [---] Sestuleìo I[Ivir(is)] , (duoviris) / [--- C]ạpito; hunc VIvi[⸢seviri⸣ et] / [h]ọnore functi rogarunt ut eo / honore fungeretur. / C(aius) Iulius Divi Augusti l(ibertus) Sosthenes / M(arcus) Iunius Felix / M(arcus) Etrilius Eros / L(ucius) Fadius Hetario / k(alendis) Aug(ustis) honor(em(?)) p(ublice) d(ederunt); ludos in foro / per quadriduum fecerunt. / C(aio) Asinio, C(aio) Antistio co(n)s(ulibus), / L(ucio) Manlio, M(arco) Plautio IIvir(is) (duoviris), / Q(uintus) Calvius Auctus / L(ucius) Tribulanus Pamphilio / M(arcus) Etrilius Onomastus / Q(uintus) Ursius Secundio / T(itus) Trebulanus Felix, prae(co) / k(alendis) Aug(ustis) honorem edederunt; lud[os in foro] / per quadriduum fecerunt; IIII primi / natale Iuliae August(ae) in pu[blico] / cenam decurion(ibus) et Augu[l(ibus) ] / dederunt; eorum sevir[atu(?)] / familia gladiat(oria?) [---]. / Appio Annio Gallo, M(arco) Atil[io Bradua co(n)s(ulibus)] / [---]/ / / [---] / Antonius [---] / M(arcus) Trebulan[us ---] / k(alendis) Aug(ustis) honor[em edederunt(?)] / L(ucio) Cassio Long[ino, M(arco) Vinicio co(n)s(ulibus)], / M(arco) Urseio Rufo [---] / Sabino [⸢duoviris⸣], / C(aius) Iulius [---] / C(aius) Gemin[ius ---] / Sex(tus) Rubr[ius ---] / Ti(̲berius) Plautius [---] / k(alendis) Aug(ustis) [honorem ediderunt(?)] / M(arcus) Iun[ius ---] / [---]","Ciciliano (Roma)",41.959962,12.9408428,legal
gladiator*,"basis, statua","honorarius","〈:in fronte〉 / L(ucio) Egnatio Inven̂to, / patri L(uci) Egnati Polli / Rufi, honorati equo p(ublico) / ab imperatorib(us) Antonino / et Vero Aug(ustis). / Hic, obliterato muneris spectac(ulo), / impetrata editione ab ⸢indulgentia⸣ / max(imi) principis, diem gladiatorum / et omne apparatum pecunia sua / edidit. / Coloni et incolae / ob munificentiam eius. / L(ocus) d(atus) d(ecreto) d(ecurionum). / / [e]ditum XII K(alendas) April(es) Claro et Cetego co(n)s(ulibus) / ((:amphitheatrum, cuius apparent gradus, fenestrae, portae; intus gladiatores duo pugnantes)) / / ((:duo gladiatores pugnantes, quorum alter cecidit))","Avella (Avellino)",40.957985,14.5994488,honorific
gladiator*,"ignoratur","honorarius","L(ucius) Vettius Tribunus / a[ed(ilis?) (:aedilis), q(uaestor) ite]ravit p[--- idem] / munus gladiato[r(ium) edidit] / idem populo Ca[mpano] / modios binos de[dit].","S. Maria Capua Vetere (Caserta)",41.0820867,14.2541872,honorific
gladiator*,"basis, statua","honorarius","L(ucio) Villio C(ai) f(ilio) Tromen(tina) / Atiliano, praef(ecto) fabr(um), / praef(ecto) coh(ortis), trib(uno) milit(um), / proc(uratori) Aug(usti), patron(o) colon(iae), / qui rogatus ab ordine pari/ter et populo gladiatori(i) / muneris publici curam / susciperet fecit et explicito / quod promiserat ⸢impendium⸣ / bigae quam populus ex collatione / legativi epuli offerebat remisit / eo anno quo et Optimus Imperator / Hadrianus Augustus etiam / duumviratus honorem suscepit. / L(ucius) Stertinius L(uci) lib(ertus) Parthenopaeus / amico incomparabili. / L(ocus) d(atus) d(ecreto) d(ecurionum).","Gaeta (Latina)",41.2107299,13.5714285,honorific
gladiator*,"tabula","honorarius","[---] / [pont(ifici) sacr(ario) Iun(onis) C(?)]ụrr(itis), / [qui pro hono]rẹ q(uin)q̅(uennalitatis) sûa[e] / [diebus(?)] V ịn edition̂em / [mune]ris decem pari/ [a gladiatorum] ⸢obtulit⸣, cui ob / [merit]a sua ordo et / [populus r(ei) p(ublicae)] Faliscorum / [p(ecunia) p(ublica)? statua]m equẹs[trem] / [ponen]da[m censuerunt(?)]. / [---]","Civita Castellana (Viterbo), località S. Maria di Falleri",42.2891482,12.4143169,honorific
gladiator*,"unknown","unknown","/ Cambo Suniduci / g(ladiator) I s(pectatus) v(ictor)","Jouy-en-Argonne",49.134124,5.22314,
gladiator*,"unknown","unknown","/ proc(uratori) f]am[il(iarum) glad(iatoriarum)] / [per---] Sic(iliam) Ae[m(iliam) 3] / [---] Dalma[t(iam) 3] / [proc(uratori) ludi Matuti]ni duc[en(ario) ludi Magni] / [","Taormina",37.8516366,15.2853127,
gladiator*,"unknown","unknown","/ T(ito) Eppio T(iti) f(ilio) / Quir(ina) Latino / IIviro iur(e) dic(undo) / munic(ipii) Latob(icorum) / proc(uratori) Im[p(eratoris) Caes]aris / Traian[i Aug(usti) pat]r[i]s / [patriae] / ad c[ensus ac]c[ipiend(os)] / [provi]n[ciae 3 proc(uratori)] / [familiar(um) gladiatoriaru]m / [provi]nc(iarum) [Hispaniaru]m / [ite]m pr[o]c(uratori) IIII p(ublicorum) Afr(icae) / p(ublice) d(ecreto) d(ecurionum)","Drnovo",45.9176571,15.4838678,
gladiator*,"unknown","unknown","/ Pro salute / Imp(eratoris) Caes(aris) M(arci) Aureli / Commodi Antonini Aug(usti) Pii Sarm(atici) Ger(manici) / Brit{t}(annici) Fel(icis) p(atris) p(atriae) pont(ificis) max(imi) tr(ibunicia) p(otestate) XII imp(eratoris) VII / co(n)s(ulis) V munus gladiat(orium) et venat(orium) vari(i) gen(eris) / dentatar(um) ferar(um) et mansuet(arum) item herbat(icarum) / M(arcus) Cosinius M(arci) f(ilius) Quir(ina) Celerinus / in col(onia) Vener(ia) Rusicade de sua pec(unia) / promisit edidit","Skikda",36.8715199,6.910180599999999,
thraec*,"unknown","unknown","/ Dis Manibus sac(rum) / Callisto (th)raeci Treb(oniano(?)) / fecit Spec(i)es eques / cons(ervo) bene merenti / v(ictoriarum) XX","Termini Imerese",37.984023,13.6961892,
secutor*,"aschenkiste","grabinschrift","Amabili secutori / nat(ione) Dacus pug(narum) XIII / fato deceptus / non ab homine","Podstrana",43.4858487,16.5493816,funerary
secutor*,"tabula","sepulcralis","D(is) M(anibus). / C(aius) Publius Mari/nus, mil(es) clas(sis) pr(aetoriae) / Mis(enensis), sec(utor) tr(ierarchi), / n(atione) Syr(us), stip(endiorum) IIII, / v(ixit) ann(is) XX; paren/tes b(ene) m(erenti) f(ecerunt).","Bacoli (Napoli), Miseno",40.7948004,14.0685261,funerary
secutor*,"unknown","unknown","/ D(is) M(anibus) / Silvani / secutoris / Val(eri) Proculi","Die",46.5337892,3.7456491,
retiari*,"unknown","unknown","/ Cursor / ret(iarius)","Langres",47.86683,5.334297,
retiari*,"unknown","unknown","/ (retiarius","Bonn",50.73743,7.0982068,
provocator*,"stele","grabinschrift","D(is) M(anibus) / Antigono / myrmilloni / qui et / provocatori (sic) / secundo palo / Campaniae / Maximinus / provocat[or] / primus palu[s---] / b(ene) m(erenti) [p(osuit)]","Classe",44.3778037,12.2368608,funerary
murmill*,"unknown","unknown","/ M(urmillo) / Q(uintus) Ducenius / Optatus III c(oronarum) III / Hateria Potita / coniunx f(ecit)","Orange",44.1380989,4.807511,
murmill*,"unknown","unknown","/ L(ucius) Tarquinius / Primus mur(millo) III / hic s(itus) e(st) Romanus / contuber(nali) / [","Bourges",47.081012,2.398782,
